cluster	word1	count1	word2	count2	word3	count3	word4	count4	word5	count5
-1	return	48896	function	36011	python	35195	def	35114	data	29407
0	liste	1498	übersetze	1493	deutscher	757	begriffe	754	deutsche	737
1	key	5290	input	4871	provide	4015	person	3446	focusing	3344
2	project	3183	input	2822	hope	2713	rewrite	2586	re-writing	2567
3	function	28176	equation	25439	sum	19332	f(x	16955	set	15889
4	triangle	15875	angle	11772	circle	10197	equation	9187	distance	6868
5	step	84992	equation	28909	answer	28701	solve	16809	cdot	13238
6	probability	3533	distribution	1516	random	1346	function	907	variable	612
7	access	4092	helpful	3896	questions	3342	tools	3191	answer	3107
8	trip	3913	day	3101	visit	2425	time	2322	travel	2288
9	satz	816	idiom	811	sag	810	igl	194	grischun	166
10	lɛ	1840	kɛ	1306	daa	1266	awọn	986	nyɛla	792
11	story	18685	character	15707	create	13502	characters	10513	time	8405
12	music	368	і	298	jazz	232	album	189	metal	186
13	vun	1952	huet	1029	ass	836	isch	687	vum	562
14	við	611	sum	552	hann	417	eru	403	frá	313
15	tha	1300	ann	1074	a’	632	mae	530	bha	529
16	detailed	932	thinking	868	provide	842	respectful	693	understanding	577
17	job	5022	career	4165	time	4099	skills	3293	company	2933
18	sentence	5565	writing	4307	concise	2481	language	2323	clarity	2310
19	create	8533	community	4642	social	4588	marketing	4520	business	4402
20	probability	5149	game	2828	cards	2660	player	2556	step	2265
21	times	11269	calculate	9182	hours	7466	time	6504	books	5946
22	data	4274	sales	3069	average	1736	product	1345	analysis	1269
23	data	21775	analysis	5967	variables	5208	distribution	3927	values	3789
24	political	254	government	239	public	222	president	213	rights	206
25	fuit	314	quomodo	249	eius	157	sicut	126	propter	121
26	ła	2431	l'è	532	sos	488	dô	427	comu	408
27	python	7609	string	7572	return	7443	function	7168	def	4861
28	roman	140	papa	108	și	106	të	98	roma	94
29	code	5255	python	4872	return	3619	class	3501	function	3268
30	return	13354	python	11172	list	10848	function	10656	def	7300
31	איז	544	און	543	די	525	א	392	פון	358
32	reaction	4978	bond	3716	carbon	3619	acid	3588	times	3237
33	energy	5081	field	4163	quantum	3744	time	3640	e.g	3358
34	voltage	2263	current	1536	power	1301	circuit	1257	output	856
35	і	215	guerra	134	ў	132	од	110	russia	104
36	cells	955	dna	616	blood	566	cell	520	health	515
37	energy	2180	climate	1799	change	1483	water	1243	solar	943
