cluster	word1	count1	word2	count2	word3	count3	word4	count4	word5	count5
en_c0	key	5290	input	4870	provide	4015	person	3446	focusing	3344
en_c1	project	3181	input	2822	hope	2712	rewrite	2586	re-writing	2567
en_c10	detailed	973	thinking	914	provide	882	respectful	705	understanding	603
en_c11	cells	1082	blood	661	cell	618	dna	567	body	524
en_c12	reaction	5106	bond	3742	carbon	3632	acid	3608	times	3347
en_c13	voltage	2266	current	1541	power	1298	circuit	1254	output	847
en_c14	energy	5172	field	4135	quantum	3808	time	3483	e.g	3381
en_c15	sentence	5643	writing	4326	concise	2483	language	2340	clarity	2338
en_c16	job	4836	career	4106	time	4000	skills	3219	company	2851
en_c17	probability	5159	game	3249	cards	2654	player	2650	step	2291
en_c18	data	27280	analysis	7624	variables	6252	values	4910	standard	4809
en_c19	times	12321	calculate	10200	hours	7902	time	7280	books	6257
en_c2	function	28431	equation	25862	sum	19433	f(x	16374	set	15934
en_c20	return	17333	function	14167	python	13589	list	12700	def	9647
en_c21	code	4436	python	3227	return	2940	function	2903	class	2870
en_c22	string	7450	return	6947	function	6877	python	6359	def	4268
en_c3	triangle	15715	angle	11663	circle	10091	equation	8842	distance	6616
en_c4	step	83966	equation	28665	answer	28325	solve	16482	cdot	12990
en_c5	access	4156	helpful	3965	questions	3377	tools	3214	answer	3129
en_c6	tha	1325	ann	1067	a’	641	bha	526	aig	375
en_c7	probability	3370	distribution	1479	random	1313	function	901	variable	574
en_c8	story	19130	character	16132	create	13700	characters	10773	time	8790
en_c9	create	9007	community	4757	social	4522	business	4392	product	4249
en_noise	return	42097	function	31861	def	30695	python	29766	time	29193
